HTG,ST,S,Y,R,FTR
D,A,A,H,D,
A,D,A,A,D,
D,H,H,H,D,
D,A,A,H,A,
A,H,D,H,D,
D,H,A,A,H,
A,D,H,H,H,
D,H,H,H,H,
D,A,A,A,D,
D,A,D,A,D,
H,H,H,D,D,
H,H,H,H,D,
H,H,H,H,H,
D,H,H,A,D,
D,H,H,D,H,
H,D,A,A,D,
D,H,D,H,D,
A,H,H,H,D,
D,H,H,A,H,
D,H,H,D,A,
A,A,A,A,A,
D,D,H,H,D,
H,A,H,D,D,
A,A,A,A,D,
H,A,H,H,D,
H,A,A,H,D,
A,H,H,A,A,
D,H,A,D,D,
H,H,D,H,D,
H,A,D,H,D,
D,H,A,A,D,
H,D,A,H,D,
D,H,H,D,D,
A,A,H,H,D,
A,H,H,A,D,
H,A,A,A,D,
A,A,D,A,D,
A,D,H,H,D,
A,H,H,D,H,
D,H,A,H,D,
H,A,H,H,A,
A,H,H,D,D,
H,H,H,A,D,
A,A,H,D,D,
H,A,A,D,D,
H,A,H,A,D,
H,D,H,D,D,
D,A,A,D,D,
D,A,D,H,D,
D,D,D,A,D,
H,H,D,D,D,
A,A,A,D,D,
H,H,A,H,D,
A,A,A,H,H,
A,H,H,D,A,
D,H,A,H,H,
A,A,A,H,D,
H,H,A,D,D,
H,H,H,D,H,
A,D,H,D,D,
D,A,A,A,A,
H,H,H,A,H,
H,H,A,A,A,
D,D,H,A,H,
H,D,D,H,D,
D,D,D,D,D,
A,H,A,A,A,
H,H,A,A,H,
D,A,A,H,H,
H,A,A,A,H,
H,H,H,A,A,
D,H,D,H,A,
D,D,H,D,D,
H,A,A,D,H,
A,A,H,H,A,
H,H,A,H,H,
A,H,H,A,H,
H,A,A,A,A,
H,H,D,A,D,
D,A,H,D,D,
D,A,H,H,D,
A,H,H,H,A,
H,H,A,A,D,
D,A,A,A,H,
D,D,D,H,D,
H,A,A,D,A,
H,D,H,H,D,
H,D,A,H,H,
A,A,A,H,A,
A,D,A,H,D,
H,D,D,D,D,
A,A,D,D,A,
A,D,A,D,D,
H,H,H,H,A,
A,H,A,H,D,
A,H,A,A,D,
D,D,D,D,H,
H,A,A,H,A,
D,H,H,A,A,
D,D,A,A,D,
D,H,D,A,D,
A,H,H,H,H,
H,A,A,H,H,
A,D,D,H,D,
H,D,A,D,D,
A,H,D,D,D,
D,A,D,D,D,
A,D,A,H,A,
D,H,D,D,D,
D,A,H,H,H,
D,D,A,H,D,
D,D,H,A,D,
D,H,H,H,A,
D,A,D,A,A,
D,A,H,A,D,
D,A,A,D,H,
H,A,D,A,D,
A,A,H,A,D,
D,A,A,D,A,
A,H,A,D,D,
A,H,D,A,D,
D,D,A,D,A,
A,H,D,H,H,
H,H,D,H,A,
A,H,A,D,A,
A,A,H,H,H,
H,D,H,A,D,
A,A,A,D,A,
D,D,D,H,A,
A,H,D,H,A,
A,A,D,H,H,
A,D,H,A,D,
H,H,D,D,H,
H,D,A,H,A,
H,H,A,D,H,
H,D,D,A,D,
A,D,H,H,A,
A,A,D,H,D,
A,A,H,A,A,
D,D,H,H,H,
D,D,H,D,H,
D,H,A,A,A,
H,A,H,H,H,
D,D,A,H,A,
A,A,A,A,H,
A,A,D,A,A,
D,H,A,D,H,
H,D,H,D,H,
D,D,A,D,D,
D,D,A,H,H,
D,H,A,D,A,
A,A,D,D,H,
H,H,H,D,A,
D,D,H,H,A,
A,H,A,H,H,
D,A,H,D,A,
D,D,A,A,A,
A,D,D,H,A,
H,H,A,H,A,
A,A,D,D,D,
H,H,A,D,A,
A,D,H,D,H,
A,A,D,A,H,
A,A,H,D,A,
A,D,H,D,A,
A,D,D,A,D,
H,A,H,A,H,
D,D,A,D,H,
D,A,H,A,A,
D,A,H,A,H,
H,A,D,A,H,
D,H,A,H,A,
A,D,A,D,H,
A,D,H,A,A,
D,D,H,D,A,
H,D,A,A,H,
H,D,H,H,A,
A,D,H,A,H,
A,D,D,D,D,
D,A,H,H,A,
D,D,H,A,A,
H,D,H,A,H,
D,A,H,D,H,
D,A,A,H,D,D
A,D,A,A,D,A
D,H,H,H,D,D
D,A,A,H,A,D
A,H,D,H,D,A
D,H,A,A,H,A
A,D,H,H,H,H
D,H,H,H,H,H
D,A,A,A,D,A
D,A,D,A,D,A
H,H,H,D,D,H
H,H,H,H,D,H
H,H,H,H,H,H
D,H,H,A,D,H
D,H,H,D,H,D
H,D,A,A,D,H
D,H,H,H,D,A
D,H,D,H,D,H
A,H,H,H,D,A
D,H,H,A,H,D
D,H,H,D,A,D
D,H,H,H,D,H
A,A,A,A,A,A
D,D,H,H,D,A
H,A,H,D,D,H
A,A,A,A,D,A
D,A,A,H,D,A
H,A,H,H,D,D
H,A,A,H,D,H
A,H,H,A,A,D
D,H,A,D,D,D
D,H,H,A,D,A
H,H,D,H,D,H
H,A,D,H,D,D
D,H,A,A,D,A
H,D,A,H,D,D
D,H,H,H,H,A
D,H,H,D,D,D
D,H,H,D,D,A
A,H,H,H,D,D
D,H,H,D,D,H
A,A,H,H,D,A
D,A,A,A,D,D
A,H,H,A,D,A
H,A,H,H,D,H
H,A,A,A,D,A
A,A,D,A,D,A
H,H,H,H,D,D
A,D,H,H,D,A
A,H,H,D,H,H
D,H,A,H,D,H
D,A,A,H,D,H
H,A,H,H,A,H
A,H,H,D,D,A
H,H,H,A,D,H
A,A,H,D,D,A
H,A,H,H,D,A
H,A,A,D,D,D
H,A,D,H,D,A
H,A,H,A,D,D
H,D,H,D,D,H
D,A,A,D,D,A
D,A,D,H,D,A
D,D,D,A,D,H
H,A,A,A,D,H
D,D,H,H,D,D
H,H,D,D,D,H
A,A,A,D,D,A
A,H,H,H,D,H
H,H,H,A,D,D
H,H,A,H,D,H
H,A,A,H,D,A
A,A,A,H,H,A
A,H,H,D,A,A
H,A,A,H,D,D
D,H,A,H,H,D
A,A,A,H,D,A
D,H,H,A,H,H
A,H,H,D,D,H
H,H,A,D,D,H
H,H,H,D,H,H
A,D,H,D,D,A
D,A,A,A,A,A
H,H,H,A,H,H
H,H,A,A,A,D
D,D,H,A,H,H
H,A,A,D,D,H
H,D,D,H,D,H
D,D,D,D,D,D
A,H,A,A,A,A
D,H,H,D,H,H
H,H,H,H,D,A
D,H,H,H,H,D
H,H,A,A,H,H
D,A,A,H,H,A
H,A,A,A,H,H
H,H,H,A,A,D
D,H,D,H,A,D
D,D,H,D,D,D
A,A,A,H,D,D
H,A,A,D,H,H
A,A,H,H,A,A
H,H,A,H,H,H
A,H,H,D,D,D
A,H,H,A,H,A
H,A,A,A,A,H
H,H,D,A,D,H
A,A,A,A,D,D
D,A,H,D,D,D
D,A,H,H,D,D
D,A,H,D,D,H
A,H,H,H,A,A
H,H,A,A,D,H
D,A,A,A,H,A
D,D,D,H,D,H
D,A,A,A,D,H
H,A,A,D,A,H
H,D,H,H,D,H
H,D,A,H,H,H
A,A,A,H,A,A
H,H,H,A,D,A
A,D,A,H,D,H
D,A,A,D,D,D
H,D,D,D,D,D
A,A,D,D,A,A
A,D,A,D,D,A
D,H,A,H,D,D
H,H,H,H,A,H
A,H,A,H,D,A
A,H,A,A,D,A
D,D,D,D,H,D
D,A,H,D,D,A
H,A,A,A,A,A
H,A,A,H,A,H
D,D,H,H,D,H
D,H,H,A,A,H
D,D,A,A,D,A
D,H,A,A,D,H
H,D,A,H,D,H
D,H,D,A,D,D
D,H,H,A,D,D
A,A,H,D,D,H
D,H,H,D,H,A
A,H,H,H,H,D
A,A,A,D,D,D
H,A,A,H,H,H
A,D,D,H,D,A
H,D,A,D,D,D
H,H,H,D,D,D
H,D,A,D,D,H
H,H,D,H,D,D
H,A,H,D,D,A
D,A,A,H,H,H
A,D,H,D,D,D
D,D,A,A,D,H
A,H,H,H,A,D
D,A,A,D,D,H
A,H,D,D,D,H
A,H,H,A,D,D
D,A,D,D,D,H
H,A,A,D,D,A
A,D,A,H,A,A
A,D,H,H,D,H
D,H,D,D,D,H
A,H,H,A,H,H
D,A,H,H,H,D
D,D,A,H,D,D
D,D,H,A,D,A
D,H,H,H,A,D
D,D,H,A,D,H
D,A,D,A,A,D
A,D,H,H,D,D
D,A,H,H,D,A
D,H,D,A,D,H
D,H,D,H,A,H
D,A,A,A,H,D
A,H,H,A,D,H
H,A,D,H,D,H
D,A,H,A,D,A
D,A,A,D,H,D
H,A,H,A,D,H
A,D,A,H,D,A
H,A,D,A,D,A
A,A,H,A,D,A
D,A,A,D,A,A
D,D,A,H,D,H
A,H,A,D,D,D
A,H,D,A,D,A
H,D,H,H,D,D
D,D,A,D,A,H
H,D,A,H,H,D
D,A,H,A,D,D
A,H,D,H,H,A
D,A,D,H,D,D
H,H,D,H,A,A
H,D,H,H,D,A
A,H,A,D,A,D
A,A,H,H,H,H
A,A,D,A,D,D
A,A,H,A,D,D
H,A,D,A,D,H
D,H,D,A,D,A
H,D,H,A,D,H
A,A,A,D,A,A
H,A,A,H,A,A
D,D,D,H,A,D
D,D,D,H,D,D
A,H,D,H,A,D
H,H,D,D,D,D
H,H,A,A,A,H
H,H,A,A,D,D
A,A,D,H,H,A
A,D,H,A,D,A
D,D,H,D,D,H
H,H,D,D,H,H
D,D,A,A,D,D
H,H,H,D,H,D
A,A,H,H,H,D
D,A,H,H,H,H
D,A,A,H,A,A
D,H,D,H,D,D
D,H,A,D,D,H
H,A,A,H,A,D
D,H,H,A,A,A
A,H,A,H,D,D
D,A,H,A,D,H
H,D,A,H,A,H
A,H,D,D,D,D
D,D,A,H,D,A
H,H,A,D,H,A
H,H,A,H,D,D
H,D,D,A,D,H
H,A,A,A,D,D
D,A,H,H,D,H
A,D,H,H,A,A
A,H,H,D,A,D
A,A,D,H,D,A
D,A,D,A,D,H
A,H,D,D,D,A
A,A,H,A,A,A
H,A,A,D,A,A
D,D,H,H,H,D
A,A,A,H,D,H
A,H,H,A,H,D
H,H,A,A,D,A
D,H,A,D,D,A
H,A,H,A,D,A
D,H,A,A,D,D
D,D,H,D,H,H
D,H,A,A,A,A
D,A,A,D,A,D
D,H,A,H,H,H
D,A,A,H,A,H
H,H,H,A,H,A
D,A,D,D,D,D
D,H,D,D,D,A
H,A,H,H,H,H
A,D,A,H,D,D
A,H,A,D,D,A
A,H,D,H,A,A
D,D,A,H,A,D
D,A,D,D,D,A
A,A,A,A,H,A
D,H,A,H,D,A
D,H,H,H,A,H
H,H,H,A,H,D
A,A,D,A,A,D
A,A,H,D,D,D
D,A,A,A,A,D
A,H,H,H,H,H
D,D,H,A,D,D
D,H,A,D,H,D
H,D,H,D,H,H
D,A,A,H,H,D
D,D,A,D,D,D
H,A,A,A,H,D
H,D,A,A,D,D
D,D,A,H,H,D
D,H,A,D,A,D
A,D,H,D,D,H
A,H,H,H,H,A
A,D,H,A,D,D
A,A,H,H,D,D
H,D,D,H,D,D
H,A,A,D,A,D
D,H,A,D,H,H
A,A,D,D,H,D
A,D,A,A,D,D
D,H,H,D,A,H
H,H,H,D,A,H
A,H,A,A,D,D
A,H,H,A,A,A
H,H,H,A,A,H
D,A,A,A,A,H
A,H,H,D,H,A
D,D,H,H,A,H
A,A,A,A,A,D
A,H,A,H,H,D
D,D,H,D,D,A
A,A,A,A,A,H
D,A,H,D,A,D
A,A,A,A,D,H
D,D,A,A,A,D
A,D,D,H,A,A
D,A,H,D,A,A
H,H,A,H,A,D
A,D,A,D,D,D
H,H,A,H,D,A
H,H,H,H,H,D
A,A,D,D,D,A
D,D,A,A,A,A
H,H,A,D,A,H
H,D,H,D,D,D
H,H,H,A,A,A
H,A,A,H,H,D
H,H,A,H,A,A
D,H,H,H,A,A
H,D,H,A,D,D
A,D,H,D,H,A
D,D,A,D,D,A
H,D,D,A,D,D
D,D,D,H,D,A
A,D,H,H,H,D
D,H,H,A,A,D
H,A,A,A,A,D
H,H,A,D,D,D
A,H,A,D,A,A
H,D,A,D,D,A
A,H,D,H,D,H
A,A,D,D,D,H
A,A,D,A,H,A
A,H,A,D,D,H
A,A,H,H,H,A
A,A,H,D,A,A
A,D,H,D,A,D
H,H,H,D,D,A
D,D,H,H,A,A
A,D,D,A,D,H
A,A,A,D,D,H
H,A,H,A,H,D
D,D,H,D,H,A
D,D,A,D,H,H
D,D,H,A,H,A
D,A,H,A,A,D
D,A,H,A,H,D
H,A,D,A,H,H
A,H,D,A,D,D
H,H,D,H,A,D
D,H,A,A,H,H
D,H,A,H,A,A
A,A,D,H,D,D
A,D,A,D,H,H
D,H,D,H,D,A
A,D,H,A,A,A
H,A,H,D,D,D
D,H,A,D,A,H
H,H,A,H,A,H
D,D,H,D,A,D
H,D,A,A,H,D
H,D,A,H,D,A
D,H,H,D,A,A
D,D,A,D,H,D
H,D,H,H,A,D
A,D,H,A,H,A
H,H,A,D,D,A
A,A,H,H,D,H
D,A,H,A,H,H
H,D,H,H,A,H
D,H,H,A,H,A
H,H,H,H,A,A
H,A,H,H,H,D
A,D,D,D,D,A
D,A,H,H,A,A
D,D,H,A,A,H
H,H,A,D,A,D
H,D,H,A,H,H
D,A,H,D,H,D
D,H,A,A,A,H
